iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2,0,tonnes,annual,2023-10-03 21:10:38.017707,
BGR,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,ch4,0.0943551934432807,tonnes,annual,2023-10-03 21:10:38.037258,
BGR,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,n2o,0.3774207737731287,tonnes,annual,2023-10-03 21:10:38.037272,
BGR,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2e_100yr,13566.904598703257,tonnes,annual,2023-10-03 21:10:38.037288,
BGR,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2e_20yr,13571.877117397717,tonnes,annual,2023-10-03 21:10:38.037301,
BHR,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2,0,tonnes,annual,2023-10-03 21:10:38.038022,
BHR,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,ch4,0,tonnes,annual,2023-10-03 21:10:38.038037,
BHR,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,n2o,0,tonnes,annual,2023-10-03 21:10:38.03805,
BHR,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:38.038064,
BHR,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:38.038078,
BHS,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2,48561.5275612226,tonnes,annual,2023-10-03 21:10:38.038802,
BHS,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,ch4,0.3403917200889446,tonnes,annual,2023-10-03 21:10:38.038819,
BHS,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,n2o,1.3615668803557928,tonnes,annual,2023-10-03 21:10:38.038833,
BHS,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2e_100yr,48943.37899281838,tonnes,annual,2023-10-03 21:10:38.038848,
BHS,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2e_20yr,48961.31763646708,tonnes,annual,2023-10-03 21:10:38.038863,
BIH,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2,291.6896696405473,tonnes,annual,2023-10-03 21:10:38.039599,
BIH,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,ch4,0.002044596893208,tonnes,annual,2023-10-03 21:10:38.039614,
BIH,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,n2o,0.0081783875728328,tonnes,annual,2023-10-03 21:10:38.039627,
BIH,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2e_100yr,293.9832984353483,tonnes,annual,2023-10-03 21:10:38.039643,
BIH,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2e_20yr,294.0910486916204,tonnes,annual,2023-10-03 21:10:38.039657,
BLM,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2,0,tonnes,annual,2023-10-03 21:10:38.040373,
BLM,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,ch4,0,tonnes,annual,2023-10-03 21:10:38.040389,
BLM,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,n2o,0,tonnes,annual,2023-10-03 21:10:38.040401,
BLM,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:38.040415,
BLM,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:38.040439,
BLR,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2,194.1108277172945,tonnes,annual,2023-10-03 21:10:38.041171,
BLR,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,ch4,0.0013606186183348,tonnes,annual,2023-10-03 21:10:38.041186,
BLR,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,n2o,0.0054424744733392,tonnes,annual,2023-10-03 21:10:38.041199,
BLR,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2e_100yr,195.63716968334248,tonnes,annual,2023-10-03 21:10:38.041214,
BLR,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2e_20yr,195.70887428452872,tonnes,annual,2023-10-03 21:10:38.041228,
BLZ,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2,23579.53900163586,tonnes,annual,2023-10-03 21:10:38.041959,
BLZ,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,ch4,0.1652806293943739,tonnes,annual,2023-10-03 21:10:38.041975,
BLZ,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,n2o,0.6611225175775082,tonnes,annual,2023-10-03 21:10:38.041989,
BLZ,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2e_100yr,23764.950811690476,tonnes,annual,2023-10-03 21:10:38.042004,
BLZ,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-aviation,co2e_20yr,23773.66110085956,tonnes,annual,2023-10-03 21:10:38.042019,
