iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-shipping,co2e_100yr,,tonnes,annual,2023-10-10 21:31:23.05893,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-shipping,co2,81535.57505478381,tonnes,annual,2023-10-10 21:31:23.052508,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.052527,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-shipping,n2o,,tonnes,annual,2023-10-10 21:31:23.052537,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-shipping,co2e_100yr,81535.57505478381,tonnes,annual,2023-10-10 21:31:23.052548,
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-shipping,co2e_20yr,81535.57505478381,tonnes,annual,2023-10-10 21:31:23.052556,
ABW,2016-01-01 00:00:00,2016-12-31 00:00:00,domestic-shipping,co2,78870.36184806959,tonnes,annual,2023-10-10 21:31:23.053234,
ABW,2016-01-01 00:00:00,2016-12-31 00:00:00,domestic-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.053249,
ABW,2016-01-01 00:00:00,2016-12-31 00:00:00,domestic-shipping,n2o,,tonnes,annual,2023-10-10 21:31:23.053259,
ABW,2016-01-01 00:00:00,2016-12-31 00:00:00,domestic-shipping,co2e_100yr,78870.36184806959,tonnes,annual,2023-10-10 21:31:23.053268,
ABW,2016-01-01 00:00:00,2016-12-31 00:00:00,domestic-shipping,co2e_20yr,78870.36184806959,tonnes,annual,2023-10-10 21:31:23.053276,
ABW,2017-01-01 00:00:00,2017-12-31 00:00:00,domestic-shipping,co2,114325.41905180621,tonnes,annual,2023-10-10 21:31:23.053928,
ABW,2017-01-01 00:00:00,2017-12-31 00:00:00,domestic-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.053943,
ABW,2017-01-01 00:00:00,2017-12-31 00:00:00,domestic-shipping,n2o,,tonnes,annual,2023-10-10 21:31:23.053953,
ABW,2017-01-01 00:00:00,2017-12-31 00:00:00,domestic-shipping,co2e_100yr,114325.41905180621,tonnes,annual,2023-10-10 21:31:23.053972,
ABW,2017-01-01 00:00:00,2017-12-31 00:00:00,domestic-shipping,co2e_20yr,114325.41905180621,tonnes,annual,2023-10-10 21:31:23.053981,
ABW,2018-01-01 00:00:00,2018-12-31 00:00:00,domestic-shipping,co2,101001.39422267019,tonnes,annual,2023-10-10 21:31:23.054627,
ABW,2018-01-01 00:00:00,2018-12-31 00:00:00,domestic-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.054642,
ABW,2018-01-01 00:00:00,2018-12-31 00:00:00,domestic-shipping,n2o,,tonnes,annual,2023-10-10 21:31:23.054651,
ABW,2018-01-01 00:00:00,2018-12-31 00:00:00,domestic-shipping,co2e_100yr,101001.39422267019,tonnes,annual,2023-10-10 21:31:23.054661,
ABW,2018-01-01 00:00:00,2018-12-31 00:00:00,domestic-shipping,co2e_20yr,101001.39422267019,tonnes,annual,2023-10-10 21:31:23.054669,
ABW,2019-01-01 00:00:00,2019-12-31 00:00:00,domestic-shipping,co2,78806.3366033585,tonnes,annual,2023-10-10 21:31:23.055308,
ABW,2019-01-01 00:00:00,2019-12-31 00:00:00,domestic-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.055322,
ABW,2019-01-01 00:00:00,2019-12-31 00:00:00,domestic-shipping,n2o,,tonnes,annual,2023-10-10 21:31:23.055331,
ABW,2019-01-01 00:00:00,2019-12-31 00:00:00,domestic-shipping,co2e_100yr,78806.3366033585,tonnes,annual,2023-10-10 21:31:23.05534,
ABW,2019-01-01 00:00:00,2019-12-31 00:00:00,domestic-shipping,co2e_20yr,78806.3366033585,tonnes,annual,2023-10-10 21:31:23.055347,
ABW,2020-01-01 00:00:00,2020-12-31 00:00:00,domestic-shipping,co2,130404.67346273243,tonnes,annual,2023-10-10 21:31:23.056114,
ABW,2020-01-01 00:00:00,2020-12-31 00:00:00,domestic-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.05613,
ABW,2020-01-01 00:00:00,2020-12-31 00:00:00,domestic-shipping,n2o,,tonnes,annual,2023-10-10 21:31:23.05614,
ABW,2020-01-01 00:00:00,2020-12-31 00:00:00,domestic-shipping,co2e_100yr,130404.67346273243,tonnes,annual,2023-10-10 21:31:23.056149,
ABW,2020-01-01 00:00:00,2020-12-31 00:00:00,domestic-shipping,co2e_20yr,130404.67346273243,tonnes,annual,2023-10-10 21:31:23.056157,
ABW,2021-01-01 00:00:00,2021-12-31 00:00:00,domestic-shipping,co2,252635.16379112235,tonnes,annual,2023-10-10 21:31:23.05681,
ABW,2021-01-01 00:00:00,2021-12-31 00:00:00,domestic-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.056825,
ABW,2021-01-01 00:00:00,2021-12-31 00:00:00,domestic-shipping,n2o,,tonnes,annual,2023-10-10 21:31:23.056834,
ABW,2021-01-01 00:00:00,2021-12-31 00:00:00,domestic-shipping,co2e_100yr,252635.16379112235,tonnes,annual,2023-10-10 21:31:23.056844,
ABW,2021-01-01 00:00:00,2021-12-31 00:00:00,domestic-shipping,co2e_20yr,252635.16379112235,tonnes,annual,2023-10-10 21:31:23.056852,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,domestic-shipping,co2,79486.19916900869,tonnes,annual,2023-10-10 21:31:23.057505,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,domestic-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.057519,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,domestic-shipping,n2o,,tonnes,annual,2023-10-10 21:31:23.057528,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,domestic-shipping,co2e_100yr,79486.19916900869,tonnes,annual,2023-10-10 21:31:23.057537,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,domestic-shipping,co2e_20yr,79486.19916900869,tonnes,annual,2023-10-10 21:31:23.057545,
ABW,2023-01-01 00:00:00,2023-12-31 00:00:00,domestic-shipping,co2,42358.60896308911,tonnes,annual,2023-10-10 21:31:23.058204,
ABW,2023-01-01 00:00:00,2023-12-31 00:00:00,domestic-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.058218,
ABW,2023-01-01 00:00:00,2023-12-31 00:00:00,domestic-shipping,n2o,,tonnes,annual,2023-10-10 21:31:23.058227,
ABW,2023-01-01 00:00:00,2023-12-31 00:00:00,domestic-shipping,co2e_100yr,42358.60896308911,tonnes,annual,2023-10-10 21:31:23.058237,
ABW,2023-01-01 00:00:00,2023-12-31 00:00:00,domestic-shipping,co2e_20yr,42358.60896308911,tonnes,annual,2023-10-10 21:31:23.058245,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-shipping,co2,,tonnes,annual,2023-10-10 21:31:23.058896,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.058908,
AFG,2015-01-01 00:00:00,2015-12-31 00:00:00,domestic-shipping,n2o,,tonnes,annual,2023-10-10 21:31:23.058917,
AND,2019-01-01 00:00:00,2019-12-31 00:00:00,domestic-shipping,co2,,tonnes,annual,2023-10-10 21:31:23.094887,
AND,2019-01-01 00:00:00,2019-12-31 00:00:00,domestic-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.094899,
AND,2019-01-01 00:00:00,2019-12-31 00:00:00,domestic-shipping,n2o,,tonnes,annual,2023-10-10 21:31:23.094908,
AND,2019-01-01 00:00:00,2019-12-31 00:00:00,domestic-shipping,co2e_100yr,,tonnes,annual,2023-10-10 21:31:23.094917,
AND,2019-01-01 00:00:00,2019-12-31 00:00:00,domestic-shipping,co2e_20yr,,tonnes,annual,2023-10-10 21:31:23.094926,
AND,2020-01-01 00:00:00,2020-12-31 00:00:00,domestic-shipping,co2,,tonnes,annual,2023-10-10 21:31:23.095565,
AND,2020-01-01 00:00:00,2020-12-31 00:00:00,domestic-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.095577,
