iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ARG,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_20yr,1390878.781653402,tonnes,annual,2023-10-03 21:10:37.37908,
ARM,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2,242388.58746530456,tonnes,annual,2023-10-03 21:10:37.379665,
ARM,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,ch4,1.6990212697330231,tonnes,annual,2023-10-03 21:10:37.379676,
ARM,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,n2o,6.796085078932229,tonnes,annual,2023-10-03 21:10:37.379683,
ARM,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_100yr,244294.5495256911,tonnes,annual,2023-10-03 21:10:37.379692,
ARM,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_20yr,244384.08794660604,tonnes,annual,2023-10-03 21:10:37.379701,
ASM,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2,7142.556033136529,tonnes,annual,2023-10-03 21:10:37.380195,
ASM,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,ch4,0.0500657013082196,tonnes,annual,2023-10-03 21:10:37.380205,
AUS,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,ch4,46.22920473019472,tonnes,annual,2023-10-03 21:10:37.381364,
ASM,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,n2o,0.2002628052328784,tonnes,annual,2023-10-03 21:10:37.380212,
ASM,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_100yr,7198.719736864089,tonnes,annual,2023-10-03 21:10:37.380224,
ASM,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_20yr,7201.358199323033,tonnes,annual,2023-10-03 21:10:37.380233,
ATG,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2,78760.24542626255,tonnes,annual,2023-10-03 21:10:37.380726,
ATG,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,ch4,0.5520694418328113,tonnes,annual,2023-10-03 21:10:37.380736,
ATG,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,n2o,2.208277767331273,tonnes,annual,2023-10-03 21:10:37.380743,
ATG,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_100yr,79379.55692611061,tonnes,annual,2023-10-03 21:10:37.380752,
ATG,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_20yr,79408.6509856952,tonnes,annual,2023-10-03 21:10:37.38076,
AUS,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2,6595227.401689196,tonnes,annual,2023-10-03 21:10:37.381354,
AUS,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,n2o,184.91681892077924,tonnes,annual,2023-10-03 21:10:37.381372,
AUS,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_100yr,6647087.323555529,tonnes,annual,2023-10-03 21:10:37.381381,
AUS,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_20yr,6649523.6026448095,tonnes,annual,2023-10-03 21:10:37.381389,
AUT,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2,1476187.7469557333,tonnes,annual,2023-10-03 21:10:37.381888,
AUT,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,ch4,10.347328669325575,tonnes,annual,2023-10-03 21:10:37.381898,
AUT,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,n2o,41.38931467730293,tonnes,annual,2023-10-03 21:10:37.381906,
AUT,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_100yr,1487795.3802569828,tonnes,annual,2023-10-03 21:10:37.381915,
AUT,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_20yr,1488340.684477856,tonnes,annual,2023-10-03 21:10:37.381923,
AZE,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2,693167.6813016288,tonnes,annual,2023-10-03 21:10:37.382517,
AZE,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,ch4,4.858754474946478,tonnes,annual,2023-10-03 21:10:37.382527,
BRN,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2,74145.43647447795,tonnes,annual,2023-10-03 21:10:37.392832,
AZE,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,n2o,19.435017899786107,tonnes,annual,2023-10-03 21:10:37.382535,
AZE,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_100yr,698618.2320716238,tonnes,annual,2023-10-03 21:10:37.382544,
AZE,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_20yr,698874.2884324534,tonnes,annual,2023-10-03 21:10:37.382551,
BDI,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2,13680.797126677293,tonnes,annual,2023-10-03 21:10:37.383148,
BDI,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,ch4,0.095895460872118,tonnes,annual,2023-10-03 21:10:37.383158,
BDI,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,n2o,0.38358184348848,tonnes,annual,2023-10-03 21:10:37.383165,
BDI,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_100yr,13788.372654683635,tonnes,annual,2023-10-03 21:10:37.383175,
BDI,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_20yr,13793.426345471597,tonnes,annual,2023-10-03 21:10:37.383183,
BEL,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2,2335450.59355548,tonnes,annual,2023-10-03 21:10:37.38368,
BEL,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,ch4,16.370326154194057,tonnes,annual,2023-10-03 21:10:37.383691,
BEL,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,n2o,65.48130461677685,tonnes,annual,2023-10-03 21:10:37.383698,
BEL,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_100yr,2353814.825435255,tonnes,annual,2023-10-03 21:10:37.383707,
BEL,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_20yr,2354677.5416235817,tonnes,annual,2023-10-03 21:10:37.383715,
BEN,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2,68343.41006606547,tonnes,annual,2023-10-03 21:10:37.384238,
BEN,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,ch4,0.4790527003048457,tonnes,annual,2023-10-03 21:10:37.384248,
BEN,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,n2o,1.9162108012194168,tonnes,annual,2023-10-03 21:10:37.384256,
BEN,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_100yr,68880.81138526746,tonnes,annual,2023-10-03 21:10:37.384265,
BEN,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_20yr,68906.05746257352,tonnes,annual,2023-10-03 21:10:37.384273,
BES,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2,48260.15542864056,tonnes,annual,2023-10-03 21:10:37.384849,
BES,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,ch4,0.3382792540330271,tonnes,annual,2023-10-03 21:10:37.384859,
BES,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,n2o,1.3531170161321304,tonnes,annual,2023-10-03 21:10:37.384867,
BES,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_100yr,48639.63709581482,tonnes,annual,2023-10-03 21:10:37.384876,
BES,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_20yr,48657.46441250236,tonnes,annual,2023-10-03 21:10:37.384884,
BFA,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2,53531.3129192666,tonnes,annual,2023-10-03 21:10:37.385388,
BFA,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,ch4,0.375227399101808,tonnes,annual,2023-10-03 21:10:37.385398,
BFA,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,n2o,1.5009095964072712,tonnes,annual,2023-10-03 21:10:37.385406,
BFA,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_100yr,53952.243015579006,tonnes,annual,2023-10-03 21:10:37.385416,
BFA,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_20yr,53972.01749951168,tonnes,annual,2023-10-03 21:10:37.385424,
BGD,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2,1016020.0901000357,tonnes,annual,2023-10-03 21:10:37.385908,
BGD,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,ch4,7.121786391049247,tonnes,annual,2023-10-03 21:10:37.385918,
BGD,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,n2o,28.48714556419715,tonnes,annual,2023-10-03 21:10:37.385925,
BGD,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_100yr,1024009.3100735148,tonnes,annual,2023-10-03 21:10:37.385934,
BGD,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_20yr,1024384.6282163227,tonnes,annual,2023-10-03 21:10:37.385942,
BGR,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2,328143.07150290086,tonnes,annual,2023-10-03 21:10:37.386532,
BGR,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,ch4,2.3001167828446087,tonnes,annual,2023-10-03 21:10:37.386543,
BGR,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,n2o,9.200467131378709,tonnes,annual,2023-10-03 21:10:37.38655,
BGR,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_100yr,330723.342509896,tonnes,annual,2023-10-03 21:10:37.386559,
BGR,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_20yr,330844.55866435193,tonnes,annual,2023-10-03 21:10:37.386567,
BHR,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2,573870.9892211552,tonnes,annual,2023-10-03 21:10:37.387068,
BHR,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,ch4,4.022545066850763,tonnes,annual,2023-10-03 21:10:37.387079,
BHR,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,n2o,16.09018026740322,tonnes,annual,2023-10-03 21:10:37.387086,
BHR,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_100yr,578383.4802771484,tonnes,annual,2023-10-03 21:10:37.387095,
BHR,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_20yr,578595.4684021715,tonnes,annual,2023-10-03 21:10:37.387103,
BHS,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2,198179.67383579156,tonnes,annual,2023-10-03 21:10:37.387592,
BHS,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,ch4,1.3891391694502124,tonnes,annual,2023-10-03 21:10:37.387602,
BHS,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,n2o,5.5565566778009465,tonnes,annual,2023-10-03 21:10:37.38761,
BHS,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_100yr,199738.01015608085,tonnes,annual,2023-10-03 21:10:37.387619,
BHS,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_20yr,199811.21779031088,tonnes,annual,2023-10-03 21:10:37.387627,
BIH,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2,79242.05979982734,tonnes,annual,2023-10-03 21:10:37.388227,
BIH,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,ch4,0.5554467166348429,tonnes,annual,2023-10-03 21:10:37.388238,
BIH,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,n2o,2.221786866539438,tonnes,annual,2023-10-03 21:10:37.388246,
BIH,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_100yr,79865.15992654831,tonnes,annual,2023-10-03 21:10:37.388257,
BIH,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2e_20yr,79894.43196851498,tonnes,annual,2023-10-03 21:10:37.388265,
BLM,2023-01-01 00:00:00,2023-12-31 00:00:00,international-aviation,co2,3758.8137746379134,tonnes,annual,2023-10-03 21:10:37.388774,
