iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,2015-01-01 00:00:00,2015-12-31 00:00:00,international-shipping,co2,230380.54110158372,tonnes,annual,2023-10-10 21:31:23.248516,
AGO,2020-01-01 00:00:00,2020-12-31 00:00:00,international-shipping,n2o,,tonnes,annual,2023-10-10 21:31:23.274365,
AGO,2020-01-01 00:00:00,2020-12-31 00:00:00,international-shipping,co2e_100yr,1443062.9008794024,tonnes,annual,2023-10-10 21:31:23.274385,
AGO,2020-01-01 00:00:00,2020-12-31 00:00:00,international-shipping,co2e_20yr,1443062.9008794024,tonnes,annual,2023-10-10 21:31:23.274403,
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,international-shipping,co2,1417478.4922946526,tonnes,annual,2023-10-10 21:31:23.275564,
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,international-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.27559,
AFG,2016-01-01 00:00:00,2016-12-31 00:00:00,international-shipping,co2e_20yr,,tonnes,annual,2023-10-10 21:31:23.258212,
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,international-shipping,co2,4502.218366699219,tonnes,annual,2023-10-10 21:31:23.259365,
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,international-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.259392,
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,international-shipping,n2o,,tonnes,annual,2023-10-10 21:31:23.259413,
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,international-shipping,co2e_100yr,4502.218366699219,tonnes,annual,2023-10-10 21:31:23.259434,
AFG,2017-01-01 00:00:00,2017-12-31 00:00:00,international-shipping,co2e_20yr,4502.218366699219,tonnes,annual,2023-10-10 21:31:23.259468,
AFG,2018-01-01 00:00:00,2018-12-31 00:00:00,international-shipping,co2,,tonnes,annual,2023-10-10 21:31:23.260599,
AFG,2018-01-01 00:00:00,2018-12-31 00:00:00,international-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.260623,
AFG,2018-01-01 00:00:00,2018-12-31 00:00:00,international-shipping,n2o,,tonnes,annual,2023-10-10 21:31:23.260643,
AFG,2018-01-01 00:00:00,2018-12-31 00:00:00,international-shipping,co2e_100yr,,tonnes,annual,2023-10-10 21:31:23.260665,
AFG,2018-01-01 00:00:00,2018-12-31 00:00:00,international-shipping,co2e_20yr,,tonnes,annual,2023-10-10 21:31:23.260685,
AFG,2019-01-01 00:00:00,2019-12-31 00:00:00,international-shipping,co2,,tonnes,annual,2023-10-10 21:31:23.261831,
AFG,2019-01-01 00:00:00,2019-12-31 00:00:00,international-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.261854,
AFG,2019-01-01 00:00:00,2019-12-31 00:00:00,international-shipping,n2o,,tonnes,annual,2023-10-10 21:31:23.261875,
AFG,2019-01-01 00:00:00,2019-12-31 00:00:00,international-shipping,co2e_100yr,,tonnes,annual,2023-10-10 21:31:23.261896,
AFG,2019-01-01 00:00:00,2019-12-31 00:00:00,international-shipping,co2e_20yr,,tonnes,annual,2023-10-10 21:31:23.261916,
AFG,2020-01-01 00:00:00,2020-12-31 00:00:00,international-shipping,co2,,tonnes,annual,2023-10-10 21:31:23.263094,
AFG,2020-01-01 00:00:00,2020-12-31 00:00:00,international-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.263118,
AFG,2020-01-01 00:00:00,2020-12-31 00:00:00,international-shipping,n2o,,tonnes,annual,2023-10-10 21:31:23.263138,
AFG,2020-01-01 00:00:00,2020-12-31 00:00:00,international-shipping,co2e_100yr,,tonnes,annual,2023-10-10 21:31:23.263159,
AFG,2020-01-01 00:00:00,2020-12-31 00:00:00,international-shipping,co2e_20yr,,tonnes,annual,2023-10-10 21:31:23.263179,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,international-shipping,co2,,tonnes,annual,2023-10-10 21:31:23.264347,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,international-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.264371,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,international-shipping,n2o,,tonnes,annual,2023-10-10 21:31:23.264393,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,international-shipping,co2e_100yr,,tonnes,annual,2023-10-10 21:31:23.264415,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,international-shipping,co2e_20yr,,tonnes,annual,2023-10-10 21:31:23.264436,
AFG,2022-01-01 00:00:00,2022-12-31 00:00:00,international-shipping,co2,,tonnes,annual,2023-10-10 21:31:23.265598,
AFG,2022-01-01 00:00:00,2022-12-31 00:00:00,international-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.265622,
AFG,2022-01-01 00:00:00,2022-12-31 00:00:00,international-shipping,n2o,,tonnes,annual,2023-10-10 21:31:23.265642,
AFG,2022-01-01 00:00:00,2022-12-31 00:00:00,international-shipping,co2e_100yr,,tonnes,annual,2023-10-10 21:31:23.265663,
AFG,2022-01-01 00:00:00,2022-12-31 00:00:00,international-shipping,co2e_20yr,,tonnes,annual,2023-10-10 21:31:23.265685,
AFG,2023-01-01 00:00:00,2023-12-31 00:00:00,international-shipping,co2,,tonnes,annual,2023-10-10 21:31:23.266835,
AFG,2023-01-01 00:00:00,2023-12-31 00:00:00,international-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.266858,
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,international-shipping,n2o,,tonnes,annual,2023-10-10 21:31:23.275611,
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,international-shipping,co2e_100yr,1417478.4922946526,tonnes,annual,2023-10-10 21:31:23.27563,
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,international-shipping,co2e_20yr,1417478.4922946526,tonnes,annual,2023-10-10 21:31:23.275648,
AGO,2022-01-01 00:00:00,2022-12-31 00:00:00,international-shipping,co2,1575113.8161508446,tonnes,annual,2023-10-10 21:31:23.276788,
AGO,2022-01-01 00:00:00,2022-12-31 00:00:00,international-shipping,ch4,,tonnes,annual,2023-10-10 21:31:23.276814,
