iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AGO,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2,0,tonnes,,2023-10-06 14:56:33.428328,
AGO,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
AGO,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
AGO,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
AGO,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
AIA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2,0,tonnes,,2023-10-06 14:56:33.428328,
AIA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
AIA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
AIA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
AIA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
ALA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2,0,tonnes,,2023-10-06 14:56:33.428328,
ALA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
ALA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
ALA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
ALA,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
ALB,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2,0,tonnes,,2023-10-06 14:56:33.428328,
ALB,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
ALB,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
ALB,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
ALB,2022-01-01 00:00:00,2022-12-31 00:00:00,other-transport,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
