iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
GRC,2020-01-01 00:00:00,2020-12-31 00:00:00,railways,co2e_100yr,25387.936621999997,tonnes,,2023-10-06 14:56:33.428328,2023-11-03 15:12:56.579583
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,co2,0,tonnes,,2023-10-06 14:56:33.428328,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
ABW,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
AFG,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,co2,0,tonnes,,2023-10-06 14:56:33.428328,
AFG,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
AFG,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
AFG,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
AFG,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
AGO,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,co2,0,tonnes,,2023-10-06 14:56:33.428328,
AGO,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
AGO,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
AGO,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
AGO,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
AIA,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,co2,0,tonnes,,2023-10-06 14:56:33.428328,
AIA,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
AIA,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
AIA,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
AIA,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
ALA,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,co2,0,tonnes,,2023-10-06 14:56:33.428328,
ALA,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
ALA,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
ALA,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,co2e_20yr,0,tonnes,,2023-10-06 14:56:33.428328,
ALA,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,co2e_100yr,0,tonnes,,2023-10-06 14:56:33.428328,
AND,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,co2,0,tonnes,,2023-10-06 14:56:33.428328,
AND,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,n2o,0,tonnes,,2023-10-06 14:56:33.428328,
AND,2022-01-01 00:00:00,2022-12-31 00:00:00,railways,ch4,0,tonnes,,2023-10-06 14:56:33.428328,
